position;company;location;posted_date;no_applicants;date_collected;type_workplace;required_skills;competitive_advantages;level;worktype;description;link_application;link_linkedin;company_name;company_size;company_sector
ITOC Analyst;{'name': 'Tata Consultancy Services', 'size': '+ de 10.001 funcionários', 'sector': 'Serviços e consultoria de TI'};Londrina, Paraná, Brasil;2023-05-05 19:58:37.018360;41 candidaturas;2023-06-05 19:58:37.040436;Presencial;['Comunicação', 'Análise de causa raiz (RCA)', 'Centro de processamento de dados', 'Gestão de incidentes', 'ITIL', 'Inglês', 'Segurança de rede', 'ServiceNow', 'Solução de problemas técnicos', 'Unix'];;Júnior;Tempo integral;"Sobre a vaga
With over 50 years in the market, TCS is considered one of the top 3 IT companies in the world. And we invite you to join our team!

Job Title: ITOC Analyst
Primary Skills: Good communication, ITSM, ITIL, Incident Management, Root Cause Analysis, Monitoring, Microsoft, Unix, Oracle, network monitoring and support, ITOM, ITOC, ServiceNow
Experience Required: 2+ years
Relevant Experience: 2+ Years
Work mode: Onsite (Londrina)
Work Timing: 7PM -7AM (Night shift)
English: Advanced

Job Requirements:

Network Site Outage Post (P3, P4)
Carrier Engagement (P3, P4) with vendors. communication with regular followup Application Gateway;
Admin key reset, Unix & Oracle account unlock & Oracle session kills
NNMI network alarm triage , network monitoring with level 1 skills of network support & Troubleshooting
ITOM Event monitoring and proper communication
ITOC Phone, Email, Request & Chat queue monitor and respond
ESOC Cameras and Doors
Coordination with vendor for Datacenter Alerts & Datacenter Escorts
TechOps Daily Status Call/UC Ops Daily Status Call and weekly cadence
Eyes on the glass support with 24x7 coverage.

""Kindly share your CV on WhatsApp (+91)909-258-2252 or sikkander.f@tcs.com for more Information""";https://www.linkedin.com/jobs/view/3567230201/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=XLOuETvrO4jWVCJ%2F4rf8sw%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3567230201/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=XLOuETvrO4jWVCJ%2F4rf8sw%3D%3D&trk=d_flagship3_search_srp_jobs;Tata Consultancy Services;+ de 10.001 funcionários;Serviços e consultoria de TI
Statistical Programmer II (SAS programmer);{'name': 'Syneos Health', 'size': '+ de 10.001 funcionários', 'sector': 'Pesquisa biotecnológica'};Brasil;2023-05-29 19:58:39.806706;25 candidaturas;2023-06-05 19:58:39.820697;Remoto;['Análise estatística', 'Controle de qualidade', 'Datasets', 'Documentação de projetos', 'Inglês', 'Macro', 'Padrões CDISC', 'Revisões por pares', 'SAS', 'SDTM'];;Assistente;Tempo integral;"Sobre a vaga
Description

Statistical Programmer II

Syneos Health is the only fully integrated biopharmaceutical solutions organization purpose-built to accelerate customer success. We lead with a product development mindset, seamlessly connecting our capabilities to add high-value insights to speed therapies to patients and provide practical value to help our customers achieve their objectives.

Our Clinical Development model brings the customer and the patient to the center of everything that we do. We are continuously looking for ways to simplify and streamline our work to not only make Syneos Health easier to work with, but to make us easier to work for.

Whether you join us in a Functional Service Provider partnership or a Full-Service environment, you’ll collaborate with passionate problem solvers, innovating as a team to help our customers achieve their goals. We are agile and driven to accelerate the delivery of therapies, because we are passionate to change lives.

Discover what our 29,000 employees, across 110 countries already know:

WORK HERE MATTERS EVERYWHERE

Why Syneos Health
We are passionate about developing our people, through career development and progression; supportive and engaged line management; technical and therapeutic area training; peer recognition and total rewards program.
We are committed to our Total Self culture – where you can authentically be yourself. Our Total Self culture is what unites us globally, and we are dedicated to taking care of our people.
We are continuously building the company we all want to work for and our customers want to work with. Why? Because when we bring together diversity of thoughts, backgrounds, cultures, and perspectives – we’re able to create a place where everyone feels like they belong.
Job Responsibilities
Uses SAS or other software to generate summary tables, data listings, graphs and derived datasets as specified in the statistical analysis plan and programming specifications.
Works to ensure that outputs meet quality standards and project requirements.
Performs validation programming and works with other Statistical Programmers, Biostatisticians, and other project team members to resolve discrepancies or any findings.
Keeps project team members informed of programming progress and issues requiring their attention.
Follows applicable SOPs, WIs, and relevant regulatory guidelines (e.g. ICH).
Maintains well organized, complete, and up-to-date project documentation, and verification/quality control documents and programs ensuring inspection readiness.
Manages scheduling and time constraints across multiple projects, sets goals based on priorities from management, and adapts to timeline or priority changes by reorganizing daily workload.
May develop specifications for datasets and outputs according to statistical and Sponsor requirements. Anticipates and addresses potential programming issues, reflects forethought, establishes the basis for efficient programming, accurately defines all variables to be accepted by peer review and sponsor/requestor with little rework.
Prepares in advance for internal meetings, contributes ideas, and demonstrates respect for opinions of others.
Displays willingness to work with others and assist with projects and initiatives as necessary to meet the needs of the business.
Completes project programming activities within timeframe allotted by Lead Statistical Programmer and/or management.
May act as the Lead Statistical Programmer, directs the programming activities of other programming personnel and monitors progress on programming deliverables.
Assists with the transfer of deliverables.
Performs other work-related duties as assigned.
Minimal travel may be required.
Qualifications

What we’re looking for
Undergraduate Degree, preferably in a scientific or statistical discipline; In lieu of degree, an equivalent combination of education and demonstrated programming experience.
Proficiency in programming in SAS or other required software, preferably in a clinical trial environment.
Excellent written and verbal communication skills.
Ability to read, write, speak, and understand English.
Get to know Syneos Health

Over the past 5 years, we have worked with 94% of all Novel FDA Approved Drugs, 95% of EMA Authorized Products and over 200 Studies across 73,000 Sites and 675,000+ Trial patients.

No matter what your role is, you’ll take the initiative and challenge the status quo with us in a highly competitive and ever-changing environment. Learn more about Syneos Health.

Additional Information

Tasks, duties, and responsibilities as listed in this job description are not exhaustive. The Company, at its sole discretion and with no prior notice, may assign other tasks, duties, and job responsibilities. Equivalent experience, skills, and/or education will also be considered so qualifications of incumbents may differ from those listed in the Job Description. The Company, at its sole discretion, will determine what constitutes as equivalent to the qualifications described above. Further, nothing contained herein should be construed to create an employment contract. Occasionally, required skills/experiences for jobs are expressed in brief terms. Any language contained herein is intended to fully comply with all obligations imposed by the legislation of each country in which it operates, including the implementation of the EU Equality Directive, in relation to the recruitment and employment of its employees. The Company is committed to compliance with the Americans with Disabilities Act, including the provision of reasonable accommodations, when appropriate, to assist employees or applicants to perform the essential functions of the job.";https://www.syneoshealth.com/clinical-corporate-careers/jobs/12793993-statistical-programmer-ii-sas-programmer?src=SNS-10160;https://www.linkedin.com/jobs/view/3610009427/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=yM43uB4y8pMAVsO4Izw9nQ%3D%3D&trk=d_flagship3_search_srp_jobs;Syneos Health;+ de 10.001 funcionários;Pesquisa biotecnológica
Lead Data Scientist (R);{'name': 'Argus Media', 'size': '1.001-5.000 funcionários', 'sector': 'Serviços de informação'};São Paulo e Região;2023-05-15 19:58:50.216043;;2023-06-05 19:58:50.225043;Híbrido;['Ciência da computação', 'Ciência de dados', 'Code Design', 'Control System', 'Estatística', 'Model Development', 'Pensamento lateral', 'Processos de produção', 'R (linguagem de programação)', 'Validação de modelos'];;Pleno-sênior;Tempo integral;"Sobre a vaga
Description

Lead Data Scientist

Location: Sao Paolo, Brazil

Please make sure you include a cover letter with your application, with reasons for your interest in this role.

About Argus

Argus is an independent media organization with 1,300 staff. It is headquartered in London and has 29 offices in the world’s principal commodity trading and production centers. Argus produces price assessments and analysis of international energy and other commodity markets and offers bespoke consulting services and industry-leading conferences. Companies in 140 countries around the world use Argus data to index physical trade and as benchmarks in financial derivative markets as well as for analysis and planning purposes.

Argus was founded in 1970 and is a privately held UK-registered company. It is owned by employee shareholders, global growth equity firm General Atlantic and Hg, the specialist software and technology services investor. Argus Media is committed to ensuring career and personal growth for all its staff and provides extensive training and career development opportunities, as well as participation in employee-led initiatives, including a women’s network. Our core values are Excellence, Integrity, Partnership, and Inclusivity

What we’re looking for

We are looking for a passionate and resourceful reporter to join one of our teams in Houston, Texas.

You will be a skilled writer, a lateral thinker as well as a logical one, driven by an interest in the economics of markets. You will be able to engage with contacts, develop relationships, and work collaboratively.

You do not need prior experience of commodities markets. Intelligence, curiosity, writing ability and a real desire to become a journalist are the primary qualities we look for in a very diverse pool of candidates.

Responsibilities
Review existing and develop new methods for Argus Possibility Curves
Review existing and develop new methods for Argus Forward Curves
Contribute to the development of the Argus DS Studio.
Prototype algorithm techniques and run extensive benchmarks for all Argus DS products.
Engage in discussions with stakeholders to ensure smooth development of the DS products and commercial launch.
Identify opportunities to improve our end-customer experience across our products and services using machine learning methods.
Maintain current knowledge of the AI technology landscape and be able to identify emerging methods or technologies and best practices.
Contribute to the enhancement of the Argus AI/ML library for possibility & forward curves that can be used globally.
Contribute to the commercialization of Argus possibility curves and data-science signals for trading and risk management.
Monitor the production processes for the Argus DS products (such as possibility curves, forward curves, and the Studio), identify if any issues arise and fix them to ensure that the curves are available to the clients before the deadlines. It will be expected to work from 12:00 to 20:00 about 2-3 days a week.

Education and Experience
BA in mathematics, finance, statistics, engineering, computer science or related field.
Experience in model validation.
Experience in model development.
Experience in production level coding and documentation.
Advanced R coding skills (5+ years).
Good knowledge and experience of SQL
Experience in GitHub version control system for code development.
Experience in unit testing to ensure that all code meets quality standards before it's deployed.
Experience in leading teams and/or projects (1+ years).
Excellent spoken and written English.
Maker mindset & self-directed.
Passion for open source.

Benefits

Our rapidly growing, award winning business offers a dynamic environment for talented, entrepreneurial professionals to achieve results and grow their careers. Argus recognizes and rewards successful performance and as an Investor in People, we promote professional development and retain a high-performing team committed to building our success.
Competitive salary and company bonus scheme.
Group medical and dental plans.
Company life insurance plan.
Private pension scheme.
Meal voucher.
Extensive internal and external training.

For more details about the company and to apply please make sure you upload your CV with a Cover Letter via our website: www.argusmedia.com/en/careers/open-positions

Argus Media is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability. Equal Employment Opportunity Posters If you’d like to view a copy of the company’s affirmative action plan or policy statement, please contact us. If you have a disability and you believe you need a reasonable accommodation in order to search for a job opening or to submit an online application, please contact us. This email is provided exclusively to assist disabled job seekers whose disability prevents them from being able to apply online. Only messages sent for this purpose will be returned. Messages sent for other purposes, such as following up on an application or technical issues not related to a disability, will not receive a response.";http://jobs.jobvite.com/argusmedia/job/oqHVlfw7?__jvst=Job+Board&__jvsd=LinkedIn;https://www.linkedin.com/jobs/view/3406436981/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=EcTft%2B4nFxpp6iSe35b6cA%3D%3D&trk=d_flagship3_search_srp_jobs;Argus Media;1.001-5.000 funcionários;Serviços de informação
Football Statistician;{'name': 'Genius Sports', 'size': '1.001-5.000 funcionários', 'sector': 'Desenvolvimento de software'};Rio Verde, Goiás, Brasil;2023-05-29 19:58:58.087755;67 candidaturas;2023-06-05 19:58:58.101675;Presencial;['Internet Access', 'Skype', 'Treinamento', 'Táticas', 'YouTube'];;Assistente;Contrato;"Sobre a vaga
Love sports?

We're looking for someone like you.

Job type - Contract based (Not part-time or full-time)

Get to know us - https://geniussports.com/statisticians-network/

This is an opportunity for exciting and fast-paced work as a Football Statistician.

If you enjoy sports and would like to become a part of the sports industry, this could be your chance! You will get thorough training in using the company software which is used for entering the data to provide the best analyses of the game possible.

Requirements:
You are reliable, committed, organized, and honest
Above-average Football knowledge with regard to the Laws of the Game, basic tactics, and jargon
Regular availability on weekends and weekday evenings
Regular internet access
Access to Skype and YouTube for meetings and training tools

Interested and want to learn more?
Tell us a bit about yourself and we'll be in touch with you for more information.";https://boards.greenhouse.io/geniussports/jobs/4180598003?gh_jid=4180598003&gh_src=0d02f23f3us&source=LinkedIn;https://www.linkedin.com/jobs/view/3580154454/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=Tsm6uMdSpup%2BQatJ1WJC4g%3D%3D&trk=d_flagship3_search_srp_jobs;Genius Sports;1.001-5.000 funcionários;Desenvolvimento de software
Data Analyst (Power BI);{'name': 'AgileThought', 'size': '1.001-5.000 funcionários', 'sector': 'Serviços e consultoria de TI'};São Paulo, São Paulo, Brasil;2023-06-05 19:01:03.310020;39 candidaturas;2023-06-05 19:59:03.323322;Híbrido;['Análise de dados', 'Benefits Design', 'Benefícios de funcionários', 'Diversidade e inclusão', 'Edge', 'Experiência do cliente', 'Identifying New Opportunities', 'Inteligência de negócios (BI)', 'Negócios', 'Requisitos de negócio'];;Assistente;Tempo integral;"Sobre a vaga
AgileThought exists to disrupt the status quo and build transformative digital solutions to solve our client's biggest problems. We know the cutting-edge technology and customer experience business needs, and we hire the best-in-class technologists to bring those solutions to life.

You will fit in here if...
You love to solve complex business problems and work with clients who value your technical expertise.
You aren't afraid to fail, and you thrive in an ever-evolving environment.
You enjoy working on a team in a diverse, multi-disciplinary capacity driving toward common goals and outcomes.

What We Offer...
Globally distributed workforce who will challenge you to be better
Smashing benefits that work for your lifestyle
Flexible time-away

Join us!
We want to work with smart, creative and interesting people! Don't see a position that fits perfectly? Keep an eye on our careers page as we are growing and adding new opportunities every day! We want to meet you!
The fine print...
If you have any requests or requirements that would support you throughout the interview process, please reach out to us.
AgileThought is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veterans’ status, or any other characteristic protected by federal, state, or local law.

Let’s re-imagine the future of technology together!";https://www.linkedin.com/jobs/view/3627043972/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=rVvke5Zcf8LKIqxM7jn89Q%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3627043972/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=rVvke5Zcf8LKIqxM7jn89Q%3D%3D&trk=d_flagship3_search_srp_jobs;AgileThought;1.001-5.000 funcionários;Serviços e consultoria de TI
Analista de Social Listening Jr.;{'name': 'Empresa Confidencial', 'size': '51-200 funcionários', 'sector': 'Tecnologia, Informação e Internet'};São Paulo, São Paulo, Brasil;2023-05-15 19:59:05.997511;;2023-06-05 19:59:06.003510;Híbrido;['Análise de dados', 'Redação', 'Dashboards', 'Google Trends', 'Habilidades analíticas', 'Inglês', 'Planejamento', 'Social Listening', 'Sprinklr', 'Visão do cliente'];;Júnior;Tempo integral;"Sobre a vaga
Empresa multinacional busca um Analista de Social Listening Jr., que possua experiência na área:

Responsabilidades:
Análise de dados de social listening, com aplicação de metodologias dessa disciplina e cruzamento com dados secundários, a fim de identificar insights acionáveis sobre o consumidor e o mercado;
Atuará com os times de Planejamento Estratégico, Social e Criação;
Será responsável pela análise de campanhas publicitárias de comunicação e resultados das ações realizadas através de dashboards no Sprinklr, gerando aprendizados e insights para otimizar os resultados e atingir os objetivos do cliente.

Requisitos:
Sólida experiência com social listening;
Perfil analítico, investigativo e curioso, voltado para insights;
Experiência com ferramentas de consumer insights: Semrush, SimilarWeb, Answer The Public, Google Trends, TGI, Monitor Evolution, Commspoint Journey - Diferencial;
Inglês avançado para leitura e escrita - Desejável;
Conhecimento na ferramenta Sprinklr - Desejável.

Benefícios:
Assistência médica e odontológica;
Vale-refeição ou vale-alimentação.;
Vale-transporte;
Seguro de vida;
Auxílio funeral;
Day-off de aniversário;
Outros.";https://www.linkedin.com/jobs/view/3605461857/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=6MpdmZ24Cle1edS3NgolGg%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3605461857/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=6MpdmZ24Cle1edS3NgolGg%3D%3D&trk=d_flagship3_search_srp_jobs;Empresa Confidencial;51-200 funcionários;Tecnologia, Informação e Internet
Desenvolvedor BI QlikSense;{'name': 'Grupo Taking', 'size': '501-1.000 funcionários', 'sector': 'Serviços e consultoria de TI'};São Paulo, Brasil;2023-05-22 19:59:08.483289;108 candidaturas;2023-06-05 19:59:08.496209;Presencial;['Administração', 'SQL', 'Criação de scripts', 'Dashboards', 'Inteligência de negócios (BI)', 'PowerCenter', 'Procedimentos armazenados', 'Qlik Sense', 'QlikView', 'Treinamento'];;Pleno-sênior;Tempo integral;"Sobre a vaga
15881 - Desenvolvedor BI ( QlikSense e QlikView)

Experiência em atuação com time de desenvolvimento BI.
Experiência em trabalhar nos ambientes Qlik (Qlikview e QlikSense): monitoramento e administração de ambiente (aplicação e servidores), administração de acesso e licenças, regras nos painéis, publicação de painéis, criação de scripts para geração de QVD, criação e manutenção em dashboards.
Experiência na construção de ETL (pode ser qualquer ferramenta que fazemos os devidos treinamentos internamente, aqui utilizamos Informática Powercenter).
Experiência em SQL Server: criação de tabelas, views, stored procedures, permissões de usuários Grants, etc.


Modalidade de trabalho: Presencial ( Vila Jaguara)
Contratação:CLT";https://www.linkedin.com/jobs/view/3608185291/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=vjszTMk7kTSO4IlGxFBU1Q%3D%3D&trk=d_flagship3_search_srp_jobs;https://www.linkedin.com/jobs/view/3608185291/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=vjszTMk7kTSO4IlGxFBU1Q%3D%3D&trk=d_flagship3_search_srp_jobs;Grupo Taking;501-1.000 funcionários;Serviços e consultoria de TI
Analista de Dados JR (Business Intelligence Analyst) - Indaiatuba;{'name': 'John Deere', 'size': '+ de 10.001 funcionários', 'sector': 'Fabricação de maquinário'};Indaiatuba, São Paulo, Brasil;2023-05-31 19:59:11.150465;196 candidaturas;2023-06-05 19:59:11.169107;Presencial;;;Pleno-sênior;Tempo integral;"Sobre a vaga
Reconhecemos e valorizamos a pluralidade dos nossos times. Por isso, criamos condições para a equidade de oportunidades através de políticas, práticas e atitudes que promovam uma cultura de respeito e o desenvolvimento de talentos.

Buscamos cada vez mais diversidade de gênero, etnias, religiões, LGBTQIA+, deficiências, culturas e histórias para impulsionar a inovação em nosso DNA.

E estamos sempre à procura de mentes inovadoras que possam contribuir com a nossa missão. Que tal fazer parte do nosso time?

Local Principal: Brazil (BR) - São Paulo - Indaiatuba

Função: Serviços Financeiros

Título: Analista de Dados JR (Business Intelligence Analyst) - Indaiatuba - 99136

Como Analista de Dados JR (Business Intelligence Analyst) na John Deere, locado em Indaiatuba- SP, você será responsável por:

Trabalhar em conjunto com o time de Operações, vislumbrando identificar e implementar oportunidades de melhoria contínua e automação, com o intuito de fornecer uma experiência mais ágil, simples e com qualidade aos times internos e clientes;
Fornecer informações e relatórios à gestão para apoiar no gerenciamento e tomada de decisão,
Avaliar riscos operacionais e pontos frágeis de nossos processos, identificando oportunidades e implementando mitigantes através de controles/ atividades automatizados(as).

Requisitos

Exigidos:

Graduação completa ou em andamento (conclusão em 2024), nas áreas de TI, Analista de dados, Ciência de dados, Administração, Engenharias, e afins;
Inglês intermediário (lê e redige e-mails com autonomia, atende ligações telefônicas pouco complexas e participa de reuniões);
Experiência com ferramentas de visualização: tableau e Power BI;
Conhecimentos de SQL, Python e/ou R;
Experiência com RPAs - ""Robotic Process Automation"" (Power Automate, Phyton, UiPath, Automation Anywhere e/ou Kryon).

Desejáveis

Conhecimentos e/ou experiência com Github;
Conhecimentos e/ou experiência com Databricks;
Inglês avançado (possui vocabulário amplo, boa gramática, conduz reuniões, argumenta, negocia e ministra treinamentos).

O Que Você Receberá

Na John Deere, você conseguirá desenvolver uma carreira que levará você aonde quer chegar. Além de produzirmos máquinas conectadas e inteligentes, com a mais alta qualidade, criamos soluções e serviços que garantam que nossos clientes possam gerir seus negócios de forma sustentável e produtiva. Com conexões tecnológicas, sociais e humanas, você terá liberdade de explorar novos projetos e pensar de forma inovadora.";https://jobs.deere.com/eightfold/job/Analista-de-Dados-JR-%28Business-Intelligence-Analyst%29-Indaiatuba/1034619500/?utm_source=LINKEDIN&utm_medium=referrer;https://www.linkedin.com/jobs/view/3623553226/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=MzsJNCKM44MXeB7FwVNBOw%3D%3D&trk=d_flagship3_search_srp_jobs;John Deere;+ de 10.001 funcionários;Fabricação de maquinário
Data Scientist;{'name': 'Shift Technology', 'size': '201-500 funcionários', 'sector': 'Serviços e consultoria de TI'};São Paulo, Brasil;2023-05-22 19:59:32.501293;;2023-06-05 19:59:32.508772;Remoto;['C#', 'Programação orientada a objetos (POO)', 'Python', 'SQL', 'Aprendizado de máquina', 'Ciência da computação', 'Ciência de dados', 'Modelagem de dados', 'Modelagem preditiva', 'Processamento de linguagem natural (PLN)'];;Júnior;Tempo integral;"Sobre a vaga
Did you know that about 10% of all insurance payouts are flowing directly into the pockets of fraudsters? The future of insurance starts with Decisions Made Better.
Shift Technology harnesses the power of AI to enable the world’s leading insurance organizations to make better decisions. Our products automate and optimize decisions from underwriting to claims, resulting in increased operational efficiency, reduced costs, and superior customer experiences for millions of people around the globe.
Our culture is built on innovation, trust, and a drive to transform the insurance industry by imagining and innovating solutions that impact insurers and their customers - like you! We come from more than 40 different countries and cultures and together we are creating the future of insurance.

The Data Science team works on a broad range of subjects. We actively participate in the definition and development of our suite of products on fraud detection, anti-money laundering and claim automation. We have a lot of technical and professional experience in data science, data engineering, coding, business understanding and client interactions. Additionally, we also work on various data types such as structured data, free text, documents and images.

What you’ll do…
As a member of the data science team, you will be working alongside our technical experts and your role will be key to roll-out our different solutions to the clients.
Set-up and deploy in production the data processing pipelines of our clients, including data reception in batches or in real-time, data cleaning, information extraction, calibration of fraud detection models, etc.
R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…)
Work closely with our clients to understand their needs, their feedback to improve our solutions
Work closely with the sales team for prospects demo

What you bring...
You have an advanced degree in Engineering or Computer Science
You are familiar with an object-oriented programming (C++, Java or C#)
You can write quality production code
You combine strong analysis with synthesis abilities and are not afraid to deal with the details
You are comfortable working with clients
You speak fluent English. Fluency in other languages is a big plus

Recruitment Process
HR screening call
CodinGame
Technical interview with Data Scientist
Last round interview with the hiring manager

#LI-PF1
#LI-HYBRID

I-
To support our employees at every stage of their careers and lives, we are always assessing the benefits we offer to ensure we are competitive. Here are some we’d like to highlight:
Flexible remote and hybrid working options
Competitive Salary and a variable component tied to personal and company performance
Company equity
Generous PTO and paid holidays
Parental leave opportunities
Extensive mental health benefits provided via our global Employee Assistance Program
Paid volunteering time - 16 hours annually
We offer many benefits in various countries - ask your recruiter for more information.

At Shift we strive to be a diverse and inclusive workforce. We hire and trust people without regard to race, color, religion, marital status, age, national or ethnic origin, physical or mental disability, medical condition, pregnancy, genetic information, gender identity or expression, sexual orientation, or other non-merit criteria.
Shift Technology is committed to providing reasonable accommodations for qualified individuals with disabilities in our application and employment process. Should you require accommodation, please email accommodation@shift-technology.com and we will work with you to meet your accessibility needs.
Shift Technology does not accept unsolicited CVs from recruiters or employment agencies in response to the Shift Technology Careers page or a Shift Technology social media post. Any unsolicited CVs, including those submitted directly to hiring managers, are deemed to be the property of Shift Technology.";https://www.shift-technology.com/careers?gh_jid=4517976003;https://www.linkedin.com/jobs/view/3607871174/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=DLLbbNNI8Kp0EJ4liA1Kqg%3D%3D&trk=d_flagship3_search_srp_jobs;Shift Technology;201-500 funcionários;Serviços e consultoria de TI
Stat Programmer 2;{'name': 'IQVIA', 'size': '+ de 10.001 funcionários', 'sector': 'Hospitais e atendimento à saúde'};São Paulo, São Paulo, Brasil;2023-05-29 19:59:40.973197;12 candidaturas;2023-06-05 19:59:40.988707;Presencial;['Banco de dados', 'Desenvolvimento de software', 'Programação (computação)', 'SQL', 'Ciência da computação', 'Documentação', 'Estatística computacional', 'Padrões CDISC', 'Revisão de código', 'SDTM'];;;Tempo integral;"Sobre a vaga
BASIC FUNCTIONS:
Develop and validate programs to generate data cleaning reports and prepare internal and external data transfers. Provide programming support to project team members within Clinical Reporting, Data Management, and other teams. Provide programming technical expertise and leadership within programming team.

RESPONSIBILITIES:

Review or prepare data transfer specifications, review test transfers from external vendors as applicable for reconciliation and integration purpose.
Set up default clinical data transfer and/or perform scheduled and ad-hoc data transfers.
Define or review specifications and test data as needed, program and generate reports to facilitate vendor and SAE reconciliation, medical coding, investigator payments, data review (e.g., SAS DM Aggregate review listings, medical review listings, Clean Patient Tracker, Missing page reports and ad-hoc reports, etc.).
Develop specifications and programs to integrate local laboratory normal ranges with clinical data, perform laboratory results conversions, toxicity grading and laboratory data mappings.
Perform programming activities for medical coding group, including integration of coded terms with data extract files and medical coding reports.
Support development of SDTM datasets and other derived datasets including associated documentations.
Perform functional lead responsibilities that include managing relevant technical guides and training materials, standard code and templates, and training other team members.
Review and evaluate the impact of database changes on programming activities.
Understand study budget and scope of work, identify, and estimate out of scope effort and forecast hours and resources for programing function.
Complete programming documentation such as updating development trackers, issue trackers, QC test plans, SAS code installs and program revision history.
Perform independent code review and unit testing and utilize source code management software.
File documentation associated with client delivery on an ongoing basis and perform final archival activity at study close.
Ensure that assigned tasks are completed with acceptable quality and on time, update task status in the task and timeline management tools, assume full responsibility for assigned task and see it through to completion.
Assist other project and functional leads in fulfilling their responsibilities.
Attend internal team meetings and relevant client team meetings as needed.
Lead process improvement initiatives.
Perform other duties that may be requested by management.
MINIMUM REQUIRED EDUCATION AND EXPERIENCE:

Bachelor’s degree in computer science, statistics, mathematics, analytical sciences, or a related field with 2-3 years of relevant experience OR
Master’s degree in computer science, statistics, mathematics, analytical sciences, or a related field with 1 year of relevant experience
KNOWLEDGE, SKILLS, AND ABILITIES:

Sound knowledge of programming, validation methods, software development life cycle and the clinical drug development process
Solid knowledge of relational database concepts, and SQL experience.
Solid knowledge of statistical computing applications such as Base SAS, SAS macro language and SAS data step
Solid knowledge of CDISC standards
Strong organizational, interpersonal, and communication skills
Excellent accuracy and attention to detail
Ability to effectively handle multiple tasks and projects
Ability to establish and maintain effective working relationships with coworkers, managers, and clients
Ability to work independently and as part of a team
Ability to learn new programming languages, technology, tools, and processes
IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com";https://jobs.iqvia.com/job/-/-/24443/49298679664?source=LinkedIn_Slots;https://www.linkedin.com/jobs/view/3616594889/?alternateChannel=search&refId=8pKE12GHvE4C1Hjh8cmG8w%3D%3D&trackingId=nSOzw4u1VaJsMF7c63o8xQ%3D%3D&trk=d_flagship3_search_srp_jobs;IQVIA;+ de 10.001 funcionários;Hospitais e atendimento à saúde
